停車場名稱 ,汽車 車位數,機車 車位數,停車場地址 ,營運時間,停車費用-平日,停車費用-假日,計費基準,補充說明,月租,備註說明,經度,緯度
南門機械停車場,150,,新竹市中華路二段545之1號,24小時營運,20元,20元,計時,委外,開放月租,24小時營運 (委外),24.8001519,120.9686042
民富機械停車場,240,,新竹市少年街49巷10號,24小時營運,20元,20元,計時,,開放月租,24小時營運 (委外),24.8072698,120.9698147
府後地下停車場,296,,新竹市府後街42號,24小時營運,20元,20元,計時,,開放月租,24小時營運 (委外),24.8043212,120.9750348
東大陸橋停車場-中央站,216,,新竹市東大路橋下,24小時營運,20元,20元,計時,,開放月租,24小時營運 (委外),24.8043212,120.9750348
東大陸橋停車場-中華站,146,,新竹市東大路橋下,24小時營運,20元,20元,計時,,開放月租,24小時營運 (委外),24.8056043,120.9605275
演藝廳廣場停車場,107,,演藝路與東大路口,8～22時,20元,20元,計時,平日與例假日收費,開放月租,8～22時 (平日與例假日收費),24.8128736,120.9681381
明志書院停車場,610,800,新竹市西大路317號,24小時營運,30元,30元,計時,委外,開放月租,24小時營運 (委外),24.801574,120.9656909
赤土崎地下停車場,602,210,新竹市建中路2號,24小時營運,20元,20元,計時,委外,開放月租,24小時營運 (委外),24.801506,120.995361
停七停車場,106,,新竹市西大路41號,24小時營運,20元,20元,計時,,開放月租,24小時營運,24.7952213,120.9718141
振興陸橋停車場,85,45,新竹市振興路橋下,8～22時,20元,20元,計時,平日與例假日收費,開放月租,8～22時 (平日與例假日收費),24.794989,120.961635
牛埔地下停車場,312,200,新竹市牛埔路387號,24小時營運,20元,20元,計時,委外,開放月租,24小時營運 (委外),24.797401,120.9424689
北區行政大樓停車場,100,112,新竹市國華街,24小時營運,20元,20元,計時,委外,開放月租,24小時營運 (委外),24.815614,120.9707431
停九停車場,28,58,東門街與東門街34巷口,8～22時,20元,20元,計時,平日與例假日收費,,8-22時 (平日與例假日收費),24.8047456,120.9733855
綜合體育場地下停車場,439,203,體育街50號,24小時營運,20元,20元,計時,委外,開放月租,24小時營運 (委外),24.8022978,120.9814217
科學工業園區跨越光復路聯外道路橋下雙層化停車場新建工程,96,,光復路上園區門口,8～22時,20元,20元,計時,平日與例假日收費,開放月租,8-22時 (平日與例假日收費),24.7816461,121.0059154
東大路橋下-機車停車場,,50,東大路橋(中華路至鐵道段),未收費,免費,免費,,未收費,,未收費,24.7816461,121.0059154
東光路停車場,49,,新竹市東光路橋下,8～22時,20元,未收費,計時,平日收費,,8-22時 (平日收費),24.784598,121.0134766
新竹漁港停車場,1036,,東大路四段尾,10:00~18:00,未收費,20元,計時,收費上限5小時,,10:00~18:00 ( 國定例假日實施收費，平日不收費。每小時20元，收費上限5小時 ),24.8421427,120.9349125
育德(停十)停車場,105,,新竹市育德街牛埔東路275巷口,8-22時,30元,未收費,計次,隔日另計,開放月租,8-22時 (平日與例假日收費，計次收費，每次30元，隔日另計)、月租停車：里民優惠600元、一般民眾1200元,24.7953877,120.9462302
關東市場,67,,關東路23巷內,8-18時,20元,20元,計時,平日與例假日收費,開放月租,8-18時 (例假日收費),24.7826828,121.0214112
稅務大樓停車場,100,156,中央路112號,24時營運,20元,20元,計時,24時營運,,,24.1987122,120.5236052
新竹火車站後站停車場-汽車,800,,後火車站,8-22時,20元,20元,計時,汽車,開放月租,汽車：8-22時(平日與例假日收費),24.8006512,120.9744401
新竹火車站後站停車場-機車,,1800,後火車站,24小時,20元,20元,計次,機車,開放月租,月租優惠300元,24.8006512,120.9744401
頂竹圍地下停車場,182,,竹蓮街20號,24小時營運,20元,20元,計時,24小時營運,開放月租,24小時營運,24.7974212,120.971916
武陵停車場,57,,武陵路73巷,8-22時,20元,20元,計時,8-22時 (平日與例假日收費),開放月租,8-22時 (平日與例假日收費),24.8187815,120.965534
新科國中地下停車場,467,,光復路1段89巷,24時營運,20元,20元,計時,24時營運,開放月租,24時營運,24.7786866,121.0249901
青草湖停車場,68,,明湖路1075巷,24時營運,30元,30元,計次,隔日另計,開放月租,24時營運 (計次收費，每次30元，隔日另計),24.7732595,120.9706081
停一機車停車場,,180,中華路二段與信義街交叉口,8-22時,30元,30元,計次,隔日另計,,8-22時 (平日與例假日收費，計次收費，每次20元，隔日另計),24.8009351,120.9698904
湳雅街平面臨時停車場,51,,光華國中後門旁空地,8-22時,20元,20元,計時,,開放月租,8-22時 (平日與例假日收費),24.8180881,120.973787
台溪平面停車場,35,,新竹市中華路三段客雅溪橋旁,8-22時,20元,20元,計時,,開放月租,8-22時 (平日與例假日收費，計時收費，每小時20元)、月租停車：里民優惠距離250公尺1000元、一般民眾2200元,24.806713,120.9688414
景觀橋下平面停車場,38,,新竹市中華路四段旁景觀橋下,8-22時,20元,20元,計時,,開放月租,8-22時 (平日與例假日收費)、月租停車：里民優惠600元、一般民眾1200元,24.7974574,120.9430906
新莊臨時平面停車場,106,,新竹市新莊街129巷內,8-22時,20元,20元,計時,,開放月租,8-22時 (平日與例假日收費，計時收費，每小時20元)、月租停車：里民優惠距離200公尺1200元、一般民眾2400元及身障1000元,24.7898487,121.0165581
敬軍、金城一(原燦坤賣場旁)及金城二(原竹人幼稚園)臨時平面停車場,195,50,光復路二段100號旁、金城路一段35巷11之12號旁及金城路二段12號對面,8-22時,20元,20元,計時,,開放月租,8-22時 (平日與例假日收費)、月租停車：里民優惠距離250公尺600元、一般民眾3200元,24.792746,121.002568
明湖公園路外小型車停車場,44,,青草湖風景區煙波飯店對面,8-22時,30元,30元,計次,隔日另計,,8-22時 (平日與例假日收費，計次收費，每次30元，隔日另計),24.7748337,120.9709587
延平停車場,104,,新竹市延平路159巷旁,24小時營運,20元,20元,計時,24小時營運,開放月租,24小時營運,24.804907,120.9548351
