站名,負責人,住              址,營業時間,經度,緯度
台灣中油(股)-民華,林聖忠,新竹市中華路二段156-1號,24HR,24.8069912,120.9784754
台灣中油(股)-新竹,林聖忠,新竹市中華路二段347號,7--22,24.8035632,120.9740792
台灣中油(股)-香山,林聖忠,新竹市中華路五段54號,24HR,24.787963,120.9272675
台灣中油(股)-關東橋,林聖忠,新竹市光復路一段529號,24HR,24.7848178,121.0131712
台灣中油(股)-北大路,林聖忠,新竹市北大路374號,24HR,24.805355,120.960843
台灣中油(股)-南寮,林聖忠,新竹市東大路四段292號,24HR,24.845784,120.928061
台灣中油(股)-光復路,林聖忠,新竹市光復路二段716號,24HR,24.8002513,120.9896875
台灣中油(股)-光明,林聖忠,新竹市光復路二段1號,24HR,24.7909793,121.0041462
台灣中油(股)-科學園區,林聖忠,新竹市工業東二路2-2號,24HR,24.7797101,121.004636
台灣中油(股)-四維,林聖忠,新竹巿中華路二段７４６號,24HR,24.7973308,120.9640224
台灣中油(股)-長和,林聖忠,新竹市經國路二段２９３號,7--22,24.8096254,120.9611589
全國加油站(股)-全國民生路,賴正時,新竹市民生路３０８號,24HR,24.8137893,120.9744442
全國加油站(股)-全國明湖,賴正時,新竹市明湖路３６１號,24HR,24.7856126,120.9677387
全國加油站(股)-全國園區,賴正時,新竹市寶山路３４６號,24HR,24.7873999,120.9852911
全國加油站(股)-全國新竹,賴正時,新竹巿中華路六段１８２號,24HR,24.7456322,120.9061372
全國加油站(股)-全國經國路,賴正時,新竹市經國路二段１２６號,24HR,24.8116501,120.9636658
全國加油站(股)-全國新竹交流道,賴正時,新竹市公道五路二段１號,24HR,24.7995844,121.0072101
台亞石油(股)-台亞經國路一站,蘇啟邑,新竹市經國路一段２４３號,24HR,24.8148987,120.9846923
公園加油站(股)-公園,蔡建璋,新竹巿光復路二段５８５號,24HR,24.8031033,120.9798996
台亞石油(股)-台亞新竹中山,蘇啟邑,新竹市中山路３３２號,24HR,24.8013228,120.9600687
長隆加油站有限公司-長隆,范光隆,新竹市東大路二段６５７號,24HR,24.8239812,120.957722
大橋加油站有限公司-大橋,魏良宇,新竹巿中華路一段３１號,24HR,24.817944,120.995134
正塘加油站有限公司-正塘,張榮枝,新竹市西濱路一段4５號,24HR,24.827228,120.92719
民弘加油站(股)-民弘,呂惟仁,新竹巿自由路６５號,24HR,24.8126451,120.9808289
永富加油站有限公司-永富,范光隆,新竹市中正路６２０號,24HR,24.8181189,120.9555584
百祥加油站(股)-百祥,余建良,新竹巿中華路五段１１１號,24HR,24.786978,120.926352
建騰開發事業(股)-延平,黃于耿,新竹市延平路二段４３６號,7--21,24.8067242,120.9308647
明湖實業(股)-明湖,李明程,新竹市明湖路１０３６號,6:30~22,24.7680045,120.978232
昇冠加油站(股)-昇冠,蘇宏明,新竹市經國路二段１號,24HR,24.813615,120.9673502
青雲加油站有限公司-青雲,吳淑惠,新竹市關東路１７１號,6:30~22,24.789303,121.019939
港南加油站有限公司-港南,陳金來,新竹市海埔路１４２巷５５號,6:30~22,24.8192511,120.924503
西歐加油站(股)-西歐,周賢玲,新竹市中華路二段５９號,24HR,24.8084251,120.982005
尚隆加油站有限公司-尚隆加油站,范光隆,新竹市天府路2段51號,24HR,24.8395016,120.9292868
佳隆加油站有限公司-佳隆加油站,范光隆,新竹市公道五路三段708號,6:30~22,24.8215278,120.9809691
茄苳加油站有限公司-茄苳加油站,陳文喜,新竹市五福二路900號,24HR,24.7544819,120.9542243
昌隆加油站有限公司-昌隆加油站,范光隆,新竹市公道五路三段669號,24HR,24.8211844,120.9807123
大橋加油站有限公司-大新竹加油站,魏良宇,新竹市中華路一段9號,6:30~22:30,24.818963,120.995719
台灣中油(股)-奕承加油站,林聖忠,新竹市景觀大道830號,24HR,24.7604655,120.9582174
佑順加油站(股)-公道五加油站,許烘爐,新竹市公道五路二段228號,24HR,24.800639,121.002976
元太科技工程股份有限公司-元太新竹加氣站,,新竹市溪埔路91號,24HR,24.8179864,120.991924
