序號,合約醫療院所名稱,十碼章,電話,地址,F6,F7,F8,經度,緯度
1,東區衛生所,2312010014,5236158,新竹市民族路40-2號,,,,24.8054425,120.9736163
2,南門綜合醫院,1512011185,5261122,新竹市林森路20號,,,,24.8021381,120.969653
3,馬偕醫院新竹分院,1112010519,6119595,新竹市光復路二段690號,,,,24.800045,120.9906631
4,國泰醫院新竹分院,1112010528,5278999,新竹市中華路二段678號,,,,24.7982349,120.96531319999997
5,謝碧祥診所,3512011187,5725099,新竹市光復路二段254號,,,,24.7948817,120.99952840000003
6,清華診所,3512011098,5735050,新竹市建功一路64號4樓,,,,24.7982751,120.99798699999997
7,簡小兒科內科診所,3512010617,5223963,新竹市西大路364號,,,,24.802236,120.96574199999998
8,廖明厚小兒科,3512011150,5316665,新竹市民族路130號,,,,24.8080853,120.97770149999997
9,石銘煌診所,3512011070,5277332,新竹市東門街138號,,,,24.8043335,120.9691805
10,蘇育賢小兒科診所,3512012479,5212911,新竹市文昌街109號,,,,24.8018712,120.96610859999998
11,吳廷臣診所,3512011034,5346677,新竹市中央路176號1樓,,,,24.8085542,120.97384480000005
12,啟恩小兒科診所,3512012728,5317177,新竹市中央路269號1樓,,,,24.8102316,120.97774700000002
13,葉佳全小兒科診所,3512011329,5321977,新竹市民權路199號,,,,24.8149863,120.97434900000007
14,林正弘小兒科診所,3512012773,5311905,新竹市光華東街16號,,,,24.8102042,120.97331589999999
15,漢杰小兒科診所,3512013903,5239779,新竹市南門街14號,,,,24.800372,120.96780289999992
16,慈佑小兒科診所,3512012899,5613809,新竹市南大路549號1樓,,,,24.7910206,120.9646957
17,趙永康小兒科診所,3512012906,5313931,新竹市北大路25號,,,,24.812851,120.97358499999996
18,賴閔宦小兒科診所,3512013225,5611238,新竹市南大路387-1號,,,,24.796494,120.96837600000003
19,廖慧敏小兒科診所,3512013305,5282282,新竹市東門街39號,,,,24.803889,120.97326599999997
20,謝承霖兒童診所,3512013384,5320520,新竹市民族路60號,,,,24.806524,120.97572200000002
21,宏偉婦產科診所,3512013636,5330733,新竹市民生路287號,,,,24.8133978,120.97437919999993
22,江婦產科診所,3512010939,5353532,新竹市民族路125號,,,,24.8083196,120.97775810000007
23,欣欣診所,3512013467,6663721,新竹市光復路一段147號,,,,24.781282,121.02269999999999
24,謝德貴兒童診所,3512013645,6686666,新竹市光復路1段360之2號,,,,24.7835025,121.01736110000002
25,林君怡小兒專科診所,3512013912,6662718,新竹市關新路18號,,,,24.7843854,121.01849659999993
26,林啟銘內科小兒科診所,3512010135,5430822,新竹市民權路71號,,,,24.8067119,120.97581500000001
27,北區衛生所,2312041028,5353969,新竹市國華街69號1樓,,,,24.8162997,120.97034570000005
28,台灣大學醫學院附設醫院新竹分院,,5326151,新竹市經國路一段442巷25號,,,,24.8158821,120.97991409999997
29,國軍新竹地區醫院附設民眾診療服務處,,5348181,新竹市武陵路3號,,,,24.8154181,120.96233110000003
30,劉復國診所,3512040599,5210085,新竹市中山路48號,,,,24.8055904,120.96683039999994
31,張桓小兒科,3512040982,5253696,新竹市林森路250號1樓,,,,24.7981671,120.96236799999997
32,簡志澔小兒科診所,3512040777,5223855,新竹市延平路ㄧ段165號,,,,24.8045212,120.95602239999994
33,張錚小兒科診所,3512040893,5337928,新竹市中正路317號,,,,24.8139752,120.96284430000003
34,陳君毅小兒科,3512042208,5345705,新竹市西大路738號,,,,24.8100751,120.95911100000001
35,台安診所,3512040955,5246069,新竹市北大路466號,,,,24.8018138,120.96004670000002
36,惠生婦產科診所,3512040991,5350358,新竹市東大路二段577號,,,,24.8223553,120.9589363
37,陳志成耳鼻喉科診所,3512042520,5258626,新竹市西大路619號,,,,24.8098486,120.95875509999996
38,林敬堯親子診所,3512042600,5350123,新竹市湳雅街120號,,,,24.819658,120.97312599999998
39,香山衛生所,2312050018,5388109,新竹市牛埔路428號,,,,24.7976851,120.94287220000001
